# Dark Elf Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Aalmu Hlaryneth | tr
Tinera Odrethi | tr
Tira Midrem | tr
Tirame Verith | tr
Tirasa Melvos | tr
Tirasie Andalen | vanilla
Tirasie Nervion | tr
Tirele Aralas | vanilla
Tirele Beleth | tr
Tirimaat Vatubani | tr
Tirvina Sedarys | tr
Tissamsi Asharapli | vanilla
Tivela Manas | tr
Tola Serevam | tr
Tolmera Relenim | vanilla
Tolmera Sathis | tr
Tolmese Hlarys | tr
Tolmse Adrend | tr
Tolmse Indarys | tr
Tolvase Bilnis | tr
Tolvise Othralen | vanilla
Tolvone Noren | tr
Tolvone Sarendas | vanilla
Tonas Telvani | vanilla
Tonasi Belas | vanilla
Tonisi Rethri | tr
Toranu Rothalnim | vanilla
Toranu Sunith | tr
Torasa Fols | tr
Torasa Menym | tr
Torosi Mavandil | tr
Torosi Othreloth | vanilla
Torosi Rotheran | tr
Tovisa Llevayn | tr
Traldrisa Tervayn | vanilla
Tralin Sadus | tr
Trayna Drathevur | tr
Traynili Rovel | tr
Traynili Senim | vanilla
Tredere Llaren | vanilla
Trela Varesi | tr
Tremona Maren | vanilla
Trena Telteraneth | tr
Trerayna Dalen | vanilla
Trerayna Irethi | tr
Treya Siratha | tr
Treya Tilvayn | tr
Trilnith Sarend | tr
Trivra Andoril | tr
Trivura Arenim | vanilla
Truvi Simaril | tr
Tulsi Retharyn | tr
Tulvusa Mels | tr
Tumsa Darethi | vanilla
Tumsa Llethan | tr
Tumsea Rethrend | tr
Tuni Azhibael | tr
Tunila Omavel | vanilla
Tunipy Shamirbasour | vanilla
Turesa Veldyn | tr
Tusammu Hanbani | tr
Tusotila Habanti | tr
Tuvene Arethan | vanilla
Tuvene Thelis | tr
Tuvenie Mels | tr
Tuvenie Varam | vanilla
Tuveso Beleth | vanilla
Tuveso Llor | tr
Tylveru Rothril | tr
Uelyna Thenim | tr
Ulami Belden | tr
Ularen Dereth | tr
Ulasa Danoran | tr
Uldyne Malveth | tr
Ulena Tevil | tr
Ulene Mendas | tr
Ulenea Beloren | vanilla
Uleni Heleran | vanilla
Uleni Tenandus | tr
Ulenus Sarayn | tr
Ulera Senas | tr
Ulibabi Selitbael | tr
Ulisamsi Saddarnuran | vanilla
Ullava Llavas | tr
Ulmesi Baryon | vanilla
Ulmiso Maloren | vanilla
Ulmosi Sarendas | tr
Ulmsa Rothalor | tr
Ulmsi Braram | tr
Ulvari Indath | tr
Ulvena Arobar | vanilla
Ulvena Bareleth | tr
Ulvena Brim | tr
Ulveni Daram | vanilla
Ulveni Henim | tr
Ulveni Salavel | tr
Ulvera Athenim | tr
Ulvera Maro | tr
Ulvesea Bavel | tr
Ulvini Balen | tr
Ulvu Ouradas | tr
Ulyne Henim | vanilla
Ulyne Llothas | tr
Ulyne Rothalen | tr
Ulyne Sedri | tr
Ulyno Uvirith | vanilla
Umela Telthim | tr
Umiru Retheran | tr
Unas Releth | tr
Undena Dolovas | tr
Undena Jerdan | tr
Unea Miris | tr
Unea Salvel | tr
Unesa Sadrathi | tr
Unila Berendas | vanilla
Urandile Selandas | vanilla
Urava Hlarn | tr
Urene Arvel | vanilla
Uresa Omoril | vanilla
Uresa Sethan | tr
Ureso Drath | vanilla
Uresu Drem | tr
Urshamusa Rapli | vanilla
Urtisa Romayn | vanilla
Urtiso Faryon | vanilla
Uryla Varyoni | tr
Uryne Nirith | vanilla
Utnu Gul | tr
Uupse Fyr | vanilla
Uuptise Melovo | tr
Uvene Thilmas | tr
Uveni Drath | tr
Uvesa Hlaani | tr
Uvisea Athin | tr
Uvisea Benethran | vanilla
Uvoo Llaren | vanilla
Vabbar Akin | tr
Vabbar Dinadad | vanilla
Vabbar Indala | tr
Vaden Nerath | tr
Vadeni Rethan | vanilla
Vadramea Farano | vanilla
Vadrasa Indaram | tr
Vadrasea Nireleth | tr
Vadryno Dralas | tr
Vadusa Sathryon | vanilla
Valana Hlaalu | tr
Valara Filansi | tr
Valasa Athrelys | tr
Valene Uravith | tr
Valeru Surendil | tr
Valesu Adren | tr
Valna Sippusoti | tr
Valnysa Tharyon | tr
Valvane Oran | tr
Valveli Androm | tr
Valveli Arelas | vanilla
Valvesu Indaram | vanilla
Valvesu Mels | tr
Valvosa Maryon | vanilla
Valvramu Ullev | tr
Valyne Uril | tr
Valyne Vedaren | vanilla
Valys Anarith | tr
Vamona Folvyn | tr
Vanase Othram | tr
Vanu Damori | tr
Varasa Dalomo | tr
Varasa Dreloth | vanilla
Varasi Vaerin | tr
Varenu Indaram | vanilla
Varinisi Onosi | tr
Varona Andarys | tr
Varona Ginith | tr
Varona Nelas | vanilla
Varona Veri | tr
Varun Dulandas | tr
Varvsa Athram | vanilla
Varvsa Romori | tr
Varyla Barus | tr
Vasema Drurel | tr
Vaveli Dralas | vanilla
Vaveli Senim | tr
Vavis Danvon | tr
Vedelea Othril | vanilla
Vedyne Urano | tr
Vela Heleran | tr
Velanda Omani | vanilla
Velanda Tharen | tr
Velaru Veran | tr
Velasi Nilvon | tr
Velavesa Andalara | tr
Veldara Barys | tr
Veldra Saren | tr
Velintha Merith | tr
Velri Remyn | tr
Vels Radovaren | tr
Velsa Athrayn | tr
Velsa Orethi | vanilla
Velsa Salaron | vanilla
Velsa Veri | tr
Vendrela Aravel | vanilla
Venira Resano | tr
Venoni Felder | tr
Venu Sadryon | tr
Verana Eindari | tr
Verana Lleras | tr
Verara Alver | tr
Verara Rendo | vanilla
Verbera Raliath | tr
Veredra Falvani | tr
Vereri Selaren | tr
Veresa Doronil | tr
Veresa Salvani | vanilla
Veresu Rorivel | tr
Vethisa Noramil | tr
Vevene Gurilo | tr
Veviri Avan | tr
Vevrana Aryon | vanilla
Vilani Gimothran | tr
Vilani Sav | tr
Vildarys Llenim | tr
Vildyne Dalur | tr
Vilenu Uvaren | tr
Vilrani Redothan | tr
Vilsie Hlarin | tr
Vilvyni Telas | tr
Vilvyni Uveran | vanilla
Vindamea Drethan | vanilla
Vindesi Barethran | tr
Vindyne Belvani | vanilla
Virethi Andoril | tr
Vireveri Darethran | vanilla
Virsa Miranu | tr
Vissu Timmirinus | tr
Visthina the Half-Lich | tr
Vivyne Andrano | vanilla
Vivyne Bradyn | tr
Voldrayne Dalori | tr
Volene Dorvaso | tr
Volene Llervu | vanilla
Volenu Dunebisun | tr
Volenu Salvi | tr
Volmyni Dral | vanilla
Volsi Malvayn | tr
Vonera Vull | tr
Voneri Renim | vanilla
Voneri Velthan | tr
Voryl Orvas | tr
Vuldronu Girith | vanilla
Vuldronu Ralaal | tr
Vulsine Dalobar | tr
Vulyne Rothari | vanilla
Vysmi Orvelo | tr
Widow Vabdas | vanilla
Wry-Eye Moranie | tr
Yakasamshi Mashda | tr
Yan-Ahhe Darirnaddunumm | vanilla
Yanabani Ashushshirari | vanilla
Yanibi Adur-Dan | vanilla
Yanibi Laetha | tr
Yasa Ilmerannu | tr
Yelseni Arven | tr
Yenabi Laserbillahemmi | vanilla
Yeva Gahne | tr
Zabi Adidshina | vanilla
Zanapli Sonnilu | tr
Zanummu Veran | tr
Zao Kausour | tr
Zebba Asharnalit | vanilla
Zernani Sulips | tr
