# Dark Elf Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Niras Farys | vanilla
Nirene Sinra | tr
Nirpus Duro | tr
Nisa Darythi | tr
Nisayn Othral | tr
Nithus Balen | tr
Niv Onmar | tr
Nivel Hladri | tr
Nivel Madryon | vanilla
Nivevin Duleayn | tr
Nivis Dalomo | tr
Nivis Serethran | tr
Nivos Balryn | tr
Nivos Drivam | vanilla
Nivos Sarethan | tr
Nivos Zaril | tr
Nivul Sadres | tr
Nols Alver | tr
Norahin Darys | tr
Noravyn Gilvos | tr
Norevis Manari | tr
Noron Thenim | tr
Norus Drethan | tr
Norus Marvel | vanilla
Norusi Fathyron | tr
Norvel Dilmdar | tr
Novas Senim | tr
Novor Dals | tr
Novor Drethan | vanilla
Novor Gorvas | vanilla
Nrohin Suvant | tr
Nuhalsin Haron | tr
Numres Munderyn | tr
Nund Assurnipilu | vanilla
Nurain Brenim | tr
Nurlith Merin | tr
Nuthri Gilven | tr
Obedur Marvus | tr
Odairan Addaribantes | vanilla
Odairan Ashummi-Ammus | vanilla
Odaishah Yasalmibaal | vanilla
Odil Remset | tr
Odral Drandoril | tr
Odral Helvi | vanilla
Odras Jerel | tr
Odril Barelo | tr
Odril Hlaalu | tr
Odril Seleth | tr
Odrin Merobar | tr
Odron Omoran | vanilla
Odrothi Indus | tr
Odryn Drados | tr
Ohibaal Assintashiran | vanilla
Ohind Zarbernatu | tr
Oldro Ervan | tr
Olen Menendus | tr
Olis Vando | tr
Ollev Yandos | tr
Olmas Uvayn | tr
Olmesan Alen | tr
Olmu Llendu | tr
Olres Iladri | tr
Olres Ralen | tr
Olroth Madri | tr
Olvam Berelothi | tr
Olvam Rathren | tr
Olvam Tarethren | tr
Olvas Llaran | tr
Olvirn Dremal | tr
Olvu Emril | tr
Olvys Omayn | tr
Olyn Daranym | tr
Olyn Dramis | tr
Omin Darothan | tr
Omin Sari | tr
Ondar Dravani | tr
Ondar Sarendas | vanilla
Ondel Gilith | tr
Ondra Irano | tr
Ondran Salobar | tr
Ondres Bethryon | tr
Ondres Narusa | tr
Ondres Nerano | vanilla
Ondres Othril | tr
Onvos Dovyn | tr
Ordras Verothran | tr
Oreman Llelenthis | tr
Orenin Hlano | tr
Ores Falandas | tr
Orler Veran | tr
Ormyn Delethren | tr
Ornero Sadalas | tr
Orns Nethri | tr
Orns Omaren | vanilla
Orval Llaren | vanilla
Orval Narad | tr
Orval Sarinith | tr
Orvan Salen | tr
Orvano Tralen | tr
Orvas Andalas | tr
Orvas Dren | vanilla
Orvas Farethan | tr
Orvesa Uleni | tr
Orvil Menas | tr
Orvral Servas | tr
Orvys Fedos | tr
Oryn Traven | tr
Osyn Redola | tr
Othram Dralor | tr
Othran Undemri | tr
Othris Sadaves | tr
Othrys Armuno | tr
Othrys Rorivel | tr
Othys Varel | tr
Otrys Marano | tr
Ovalus Tharan | tr
Ovis Baren | tr
Ovis Dirvyn | tr
Padus Addinibi | tr
Palan Zarribour | tr
Paldyn Varethi | tr
Pargus Marethi | tr
Pata-Zel Omesur | tr
Patus Assumanallit | vanilla
Patus Elashipal | tr
Paulus Hlaalu | tr
Permil Danconis | tr
Pilun Ashapaladdon | vanilla
Potemus Marolus | tr
Pumaris Dulay | tr
Punibi Rindo | tr
Punibi Yahaz | vanilla
Radayn Drenim | tr
Raier Theran | tr
Rakul Hanti | tr
Raladas Llerethi | tr
Raladas Uleni | tr
Ralam Garer | tr
Ralam Hlaan | tr
Ralam Omoril | tr
Ralam Othravel | tr
Ralam Vilas | vanilla
Ralan Ronileth | tr
Ralan Varos | tr
Ralas Salen | tr
Ralas Saven | tr
Ralden Goran | tr
Ralds Oril | vanilla
Raldyn Ovarel | tr
Ralen Hlaalo | vanilla
Ralen Tilvur | vanilla
Raleni Taresi | tr
Raleth Hlasur | tr
Ralis Daravel | tr
Ralis Llarmos | tr
Ralis Nalor | tr
Ralm Saran | tr
Ralmes Ferenim | tr
Ralmyn Othren | vanilla
Ralmyn Verith | tr
Ralnym Alendu | tr
Ralos Othrenim | vanilla
Rals Vinden | tr
Ralsa Hardil | tr
Ralur Sadrano | tr
Ralvam Turil | tr
Ralvas Hlerothi | tr
Ralvyn Avani | tr
Ralyn Farothran | vanilla
Ralyn Othravel | vanilla
Ralyn Velor | tr
Ralys Mundrethi | tr
Ramabu Oltis | tr
Ranalis Hlaalo | tr
Ranalith Sedroth | tr
Randilo Aris | tr
Ranen Andoren | tr
Ranes Falavel | tr
Ranes Ienith | vanilla
Ranith Zuldassur | tr
Ranor Dralas | vanilla
Ranor Tharys | tr
Ranso Virian | tr
Rantharas Hanaris | tr
Rararyn Radarys | vanilla
Rarethil Heran | tr
Raril Giral | vanilla
Raril Ieneth | tr
Raris Oran | tr
Raryn Daren | vanilla
Rathal Barus | vanilla
Rathal Senoril | tr
Rathes Falveno | tr
Rathir Halveri | tr
Rathos Reminul | tr
Rathyr Telnith | tr
Rathys Madalvel | tr
Rathys Oren | tr
Ravanos Gilvel | tr
Ravis Duloth | tr
Ravis Irival | tr
Raviso Andalas | vanilla
Ravos Andrelo | tr
Ravos Dren | tr
Ravos Goran | tr
Ravos Relarys | vanilla
Ravos Sorvalith | tr
Ravyver Veslo | tr
Raylin Tevan | tr
Raynil Salavel | tr
Raynilie Andromo | vanilla
Redas Felthirin | tr
Redoran Watchman | tr
Relam Adryn | tr
Relam Arinith | vanilla
Relam Fevur | tr
Relam Gimayn | tr
Relam Indoran | tr
Relamus Andoril | tr
Relamus Saravyne | tr
Relanes Aryn | tr
Relas Aravel | tr
Relas Arothan | vanilla
Relas Oryalen | tr
Reldereryn Vesuri | tr
Relen Hlaalu | vanilla
Relen Lloryn | tr
Relen Omothan | tr
Relen Vulunith | tr
Relis Velethi | tr
Rellus Delano | tr
Relmo Tharonen | tr
Relms Gilvilo | vanilla
Relms Uvaryn | tr
Relor Savani | tr
Relos Dolan | tr
Relos Tharys | tr
Reloves Bemis | tr
Rels Bavani | tr
Rels Tenim | vanilla
Rels Ubelor | tr
Rels Uvalor | tr
Relur Faryon | vanilla
Relur Nolvon | tr
Relur Selvayn | tr
Relvyn Telandas | tr
Relyn Sarano | vanilla
Remas Morvayn | vanilla
Remas Thalothen | tr
Remis Varathren | tr
Remyon Nedalas | tr
Remyon Selaris | tr
Renam Braven | tr
Renedo Salens | tr
Renil Farano | tr
Renil Tothre | tr
Renko Taloet | tr
Renves Gilvani | tr
Renves Indaram | tr
Renvis Lendaren | tr
Reram Vares | tr
Rernel Arano | vanilla
Rernel Verilnith | tr
Reron Amardas | tr
Reron Indothan | tr
Reron Rinith | vanilla
Rervam Farethi | vanilla
Rerynith Manel | tr
Rerys Hlesas | tr
Rethril Sareleth | tr
Rethyn Verelnim | tr
Rethys Naaril | tr
Revas Supai | tr
Revelsu Selnas | tr
Revim Milo | tr
Revis Arano | tr
Revyn Balathren | tr
Revys Avani | tr
Reynel Indrano | tr
Reynis Ralvani | vanilla
Reyri Seleth | tr
Rifal Gindis | tr
Rilam Nethrend | tr
Rilamus Sarothril | tr
Rilas Arethan | vanilla
Rilas Dralethan | tr
Rilen Giral | tr
Rilmas Athyrion | tr
Rilos Delms | vanilla
Rilos Lenas | tr
Rilur Dalen | tr
Rilver Adavrin | tr
Rilver Andothan | vanilla
Rilver Thelas | tr
Rilvin Dral | tr
Rilvyn Kren | tr
Rilyn Nelvilo | tr
Rinar Sandras | tr
Rindal Sethan | tr
Rindral Dralor | vanilla
Rindral Herano | tr
Rirnas Athren | vanilla
Rirnas Salmyn | tr
Rirns Uveran | vanilla
Rithnil Draras | tr
Rivame Samandas | vanilla
Rivyn Dalvani | tr
Rivyn Veras | tr
Rivys Salavo | tr
Roahaz Paru-Pal | tr
Rolaam Ulvi | tr
Rolam Salenith | tr
Rolis Deras | tr
Rolis Garvon | vanilla
Rolis Hlor | tr
Rols Ienith | vanilla
Rolvon Drolenith | tr
Rolvyn Benelas | tr
Rolvyn Saldro | tr
Rolvyn Salvenu | tr
Rolvyn Verethi | tr
Rolyn Vedas | tr
Rolys Eryn | tr
Romit Gilith | tr
Ronas Farendes | tr
Rorethys Selvi | tr
Roril Iamis | tr
Rother Nerevyn | tr
Rothis Gavyn | tr
Rothis Nethan | vanilla
Rothis Selvayn | tr
Rothis Thalur | tr
Rothis Uvalas | tr
Rothri Oril | tr
Rovone Arvel | vanilla
Rovone Gathram | tr
Rowdy Rilmas | tr
Rubato Velothren | tr
Rulvam Helseri | tr
Ruram Salothran | tr
Ryamon Sevenas | tr
Sadas Ingorven | tr
Sadil Eves | tr
Sadis Fomoren | tr
Sadryn Seles | tr
Sadryn Volos | vanilla
Sadyn Vano | tr
Saelin Ulom | tr
Sainat Hassanibi | tr
Sakin Sanammasour | vanilla
Sal Pudashara | vanilla
Sala Trokari | tr
Salamat Drals | tr
Salanit Gilu | tr
Salas Voreleth | tr
Salay Yessur-Disadon | vanilla
Salder Hleroth | tr
Salen Ravel | vanilla
Salmat Elarrapal | vanilla
Salms Andala | tr
Salms Llaram | tr
Salms Ulvani | tr
Salms Uvulas | tr
Salms Varys | tr
Salmus Kaushmamanu | vanilla
Salnur Saren | tr
Salrym Helseri | tr
Sals Ethrys | tr
Sals Theldryn | tr
Salthis Beleram | tr
Salvas Areleth | vanilla
Salvas Armuno | tr
Salvas Relas | tr
Salvendu Harethim | tr
Salver Lleran | vanilla
Salver Moronethi | tr
Salvil Benelas | tr
Salvor Renthonen | tr
Salvvam Mothandil | tr
Salyn Sarethi | vanilla
Samel Dradas | tr
Samus Indalar | tr
Sanas Alver | tr
Sanas Indalor | tr
Sanas Uvalas | tr
Sandes Girando | tr
Sandras Orental | tr
Sandro Thirith | tr
Sannit Kil | vanilla
Sano Telvorys | tr
Sanryth Indosi | tr
Sanvran Aran | tr
Sanvyn Llethri | vanilla
Sanvyr Deroth | tr
Sanvyr Ruthan | tr
Saran Lletho | tr
Saras Orelu | vanilla
Sarayn Sadus | vanilla
Saren Gilvar | tr
Saren Neras | tr
Saren Varil | tr
Sarethi Trinesi | tr
Sargon Santumatus | vanilla
Sari Raloran | tr
Sarim Dolner | tr
Sarim Helni | tr
Saris Gethran | tr
Sarns Maren | tr
Saro Uls | tr
Sarrugi Sentishi | tr
Sarthos Varyn | tr
Sarus Eloth | tr
Sarus Savrethi | tr
Saruse Evenas | tr
Sarvil Omarel | tr
Sarvil Sadus | vanilla
Sarvls Rarrothan | tr
Sarvur Sadri | vanilla
Sarvuril Indaren | tr
Saryi Vareno | tr
Saryl Hahnim | tr
Saryl Thereth | tr
Saryn Arns | tr
Saryn Sarothril | vanilla
Saryth Kalmeran | tr
Sathas Marvayn | tr
Sathas Rivul | vanilla
Sathayn Hlaalu | tr
Sathes Barnalo | tr
Sathes Reldam | tr
Sathis Vinden | tr
Sathram Volos | tr
Sathro Norethi | tr
Sathyan Hlaalu | tr
Sathylos Llandryn | tr
Sathys Norvayn | tr
Saven Roril | tr
Savile Delenu | tr
Savor Ildam | tr
Savorn Ovalyn | tr
Savorys Hlaalu | tr
Savur Althranis | tr
Savur Githendas | tr
Savur Lloram | tr
Savur Theran | tr
Savure Uvalor | vanilla
Savus Narusa | tr
Saylenus Ramaril | tr
Scelyn Ulanthas | tr
Sedam Omalen | vanilla
Sedam Sadrethi | tr
Sedaves Adrendil | tr
Sederan Lothros | tr
Sedrane Arvel | vanilla
Sedris Darenith | tr
Sedryn Vorethi | tr
Selar Adryn | tr
Seldos Llothar | tr
Seldus Nerendus | vanilla
Selens Rorvam | tr
Seler Givyn | tr
Selero Llothan | tr
Selk Muddumummu | vanilla
Selman Relas | vanilla
Selmen Relas | vanilla
Selmuth Balur | tr
Selothril Llana | tr
Selthrin Jerdan | tr
Seltyn Nyrandil | tr
Selvil Sareloth | vanilla
Selvin Tharendas | tr
Selvur Dalis | tr
Semis Arenim | tr
Senas Durel | tr
Sendal Tithres | tr
Sendel Tedala | tr
Sendus Sathis | vanilla
Senil Sedri | tr
Senil Thelas | tr
Seras Faryon | tr
Seras Gavos | vanilla
Seras Indaren | tr
Serer Andrano | vanilla
Serer Dathren | tr
Serer Othan | tr
Serer Thirvayn | tr
Serevyne Anim | tr
Seric Sadaves | tr
Serim Derthi | tr
Seris Nedrys | tr
Serjo Avon Oran | vanilla
Sernim Arobar | tr
Serul Dathren | vanilla
Serul Farys | tr
Serul Idrem | tr
Servas Capris | tr
Servos Neloren | tr
Seryl Hlervan | tr
Seryn Othralen | vanilla
Sethan Andoril | tr
Sevaen Ondyn | tr
Sevan Hardil | tr
Sevilo Othan | vanilla
Sevilo Raboban | tr
Sevilo Serynith | tr
Sevros Hedran | tr
Sevroth Teles | tr
Sevyn Arvel | tr
Sevyn Braram | tr
Shanat Kaushminipu | vanilla
Shanath Teran | tr
Shanit Ashar-Don | vanilla
Shannat Pansamsi | vanilla
Shanud Ududnabia | vanilla
Shargon Odin-Ahhe | vanilla
Shargon Selvilo | tr
Shariche Asselani | tr
Sharpatu Yanpalladas | tr
Shef Hlaalu | tr
Shilipuran Zama-Rasour | vanilla
Shin Assemmus | vanilla
Shinkal Assirnasali | tr
Shipal Zansatanit | vanilla
Shirahan Larasam | tr
Shirerib Ashi-Iddan | vanilla
Shullay Malman-Ammu | vanilla
Shullay Vandalas | tr
Shulun Harrinat | tr
Shutatarrit Ainabaddit | tr
Siln Tharoth | tr
Silram Erendi | tr
Silvin Neriem | tr
Silyn Avel | tr
Simeth Hlarin | tr
Sinsal Nedriem | tr
Sirasan Rabdan | tr
Sobur Bredani | tr
Sodren Gals | tr
Sodren Helval | tr
Sodres Madavel | tr
Sodres Nerethi | vanilla
Sodril Nethrend | tr
Sohemus Pul | tr
Solammus Gernu | tr
Solas Ilvu | tr
Solnu Dirith | tr
Solos Darethi | tr
Solos Nidrem | tr
Soran Veroth | tr
Soren Uveran | tr
Soris Nilvendu | tr
Soron Nadril | tr
Sortis Rathryon | vanilla
Sorus Dalvor | tr
Sorvol Tomaril | tr
Sothren Gilvani | tr
Sover Dothril | tr
Sovor Guryn | tr
Sovor Hlothan | tr
Sovor Nerevyn | tr
Sovor Sadus | tr
Sovor Trandel | vanilla
Sovos Horaren | tr
Sovos Ramalor | tr
Stlennius Vibato | vanilla
Subenend Urshummarnamus | vanilla
Sulanis Tharil | tr
Suldren Falandas | tr
Sulemus Nalyn | tr
Sulen Amardas | tr
Sulen Sarandus | vanilla
Suleri Gavala | tr
Sulerri Tharyon | tr
Sulis Faveran | tr
Sulis Rendas | vanilla
Sulnos Adrethim | tr
Sunel Rethandus | tr
Sur Surishpi | vanilla
Suren Thelor | tr
Surmas Tolvor | tr
Surol Suth | tr
Suron Andromo | tr
Suryn Athones | vanilla
Suryn Hamanour | tr
Suryn Ralvas | tr
Suryvn Thalas | tr
Suvor Madalvo | tr
Suvosi Midrem | tr
Suvryin Avani | tr
Suvryn Doves | vanilla
Suvryn Velendas | tr
Tabad Vems | tr
Tadas Llendu | vanilla
Tadavas Nireth | tr
Tadave Arendu | tr
Tadave Ralen | tr
Taderi Tharys | tr
Tadora Romyon | tr
Tadrys Raleven | tr
Talen Drel | tr
Talis Amurith | tr
Talis Drurel | vanilla
Talis Varalaryn | tr
Talis Veran | vanilla
Talkin Ashar-Dad | vanilla
Talms Bedas | tr
Talms Beldros | tr
Talms Beleth | tr
Talms Dralor | vanilla
Tals Rendil | tr
Talvenyl Lerano | tr
Talver Dolmyn | tr
Talvos Samori | tr
Talvur Hlarar | tr
Tamas Calisan | tr
Tanar Llaram | tr
Tandram Andalen | vanilla
Tandram Veleth | tr
Tandryen Reyas | tr
Tanel Arvon | tr
Tanel Faren | vanilla
Tanur Llaram | vanilla
Tanur Randalo | tr
Tarar Doran | vanilla
Taras Molor | tr
Tarbulin Seril | tr
Taren Omothan | vanilla
Tarer Braryn | vanilla
Taril Rothari | tr
Taris Rovynith | tr
Taris Varam | tr
Taros Dral | vanilla
Taroth Narvud | tr
Tarsamat Bekul | tr
Tarvel Drenith | tr
Tarvil Famori | tr
Tarvil Gamaras | tr
Tarvyn Faren | vanilla
Tarvyn Omayn | tr
Tasan Balath | tr
Taves Aralen | vanilla
Tedras Felas | tr
Tedrel Athranyn | tr
Tedrel Heryon | tr
Tedri Adas | tr
Tedril Draren | tr
Tedril Hledas | tr
Tedril Llaram | tr
Tedril Nothro | tr
Tedril Vandram | vanilla
Tedryn Brenur | vanilla
Tedryn Giranith | tr
Tedryn Varyon | tr
Tedur Hlarar | vanilla
Telar Gavon | tr
Telaras Medrevan | tr
Teldram Dulo | tr
Telis Salvani | vanilla
Telis Zamra | tr
Tels Garer | tr
Tels Girano | vanilla
Tels Illoro | tr
Tels Llendu | tr
Telsyn Serano | tr
Telven Sadri | tr
Telvon Llethan | vanilla
Telvon Otheri | tr
Telyn Dralis | tr
Telyn Vedrith | tr
Temis Lorthus | tr
Temis Romavel | vanilla
Tendren Hlervu | vanilla
Tendris Vedran | vanilla
Tendurth Moran | tr
Tenel Erand | tr
Tenos Siratha | tr
Tens Nolar | vanilla
Tens Velith | tr
Teran Marys | tr
Teras Vadryon | tr
Tereldyn Hlaalu | tr
Terer Helothan | vanilla
Teres Arothan | vanilla
Teris Andrethi | tr
Teris Narim | tr
Teris Raledran | vanilla
Teris Romoran | tr
Teris Sevuro | tr
Teris Vandenius | tr
Tervur Braven | vanilla
Tervur Ryalas | tr
Tervuren Salosi | tr
Teshmus Assebiriddan | vanilla
Tevernes Llenesis | tr
Tevuren Galdar | tr
Tevyn Athin | vanilla
Thadar Ertis | vanilla
Thadas Erethan | tr
Thadas Vidron | tr
Thadasou Guaram | tr
Thadasou Therayn | tr
Thaden Ralas | vanilla
Thal Ullev | tr
Thales Dalano | tr
Thalis Rervil | tr
Thals Dorvaso | tr
Thanelen Velas | vanilla
Tharer Rotheloth | vanilla
Tharon Thelas | tr
Theldyn Beloren | tr
Theldyn Virith | vanilla
Thelin Drinith | tr
Thels Gilvilo | tr
Thenvil Othranis | tr
Theran Arlethi | tr
Theril Gilnyth | tr
Theril Nethil | tr
Therlis Roryon | tr
Therval Girando | tr
Thervam Drelas | vanilla
Thervas Eluvel | tr
Therys Nisilvi | tr
Thiren Rilmas | tr
Thiril Sendu | tr
Thirvam Maleran | tr
Tholas Horaren | tr
Tholenen Drelas | tr
Tholer Andas | tr
Tholer Saryoni | vanilla
Thols Ilvi | tr
Thonis Mansenat | tr
Thoril Misrem | tr
Thoryn Samori | vanilla
Threvul Serethi | vanilla
Tibdan Shalarnetus | vanilla
Tidras Deltis | vanilla
Tidrend Nereis | tr
Tidril Berend | tr
Tidril Moras | tr
Tidril Uvalor | tr
Tidros Indaram | vanilla
Tidros Tirandus | tr
Tieran Fardan | tr
Tilore Alethi | tr
Tilore Edralo | tr
Tilore Uvandrys | tr
Tilvur Andruvo | tr
Timayn Marelis | tr
Tinos Drothan | vanilla
Tinos Duleri | tr
Tinti Elarrapal | tr
Tiralos Uval | tr
Tiram Gadar | vanilla
Tiras Andothril | tr
Tiras Drinith | tr
Tiras Sadus | vanilla
Tirele Edri | tr
Tirer Belvayn | vanilla
Tirer Gimothran | tr
Tireso Esen | tr
Tiril Furam | tr
Tirisar Garvas | tr
Tirnur Thirano | vanilla
Tiron Naren | tr
Tirvel Bethrano | tr
Tis Abalkala | vanilla
Tivam Sadri | vanilla
Tivor Varyos | tr
Tobias Hlaalu | tr
Tolvise Seloth | tr
Tonas Telobar | tr
Toravyn Adavrin | tr
Toris Adus | tr
Toris Saren | vanilla
Torvas Dreth | tr
Torvayn Andrelo | tr
Torvor Dradas | tr
Tovas Lythandas | tr
Tralas Rendas | vanilla
Tralayn Vavas | vanilla
Traleg Indrothi | tr
Traven Bero | tr
Traven Marvos | vanilla
Traven Nothren | tr
Traven Romalen | tr
Travin Benelas | tr
Traylor Hiro | tr
Tredyn Milar | tr
Tredyn Telvayn | tr
Tredyn Venim | vanilla
Trelam Falvani | vanilla
Trelam Hardil | tr
Trelam Llando | tr
Trelam Sethri | tr
Trelan Sadri | tr
Trelis Ovim | tr
Trelo Resano | tr
Trels Vuram | tr
Tremon Hlaalu | tr
Trendil Vas | tr
Trendrus Drals | vanilla
Treram Arethrano | tr
Treram Milar | vanilla
Treram Odalyn | tr
Treram Varalaryn | tr
Treras Dres | vanilla
Treras Veloren | tr
Treros Romavel | tr
Trevyn Fedos | vanilla
Trevyn Soran | tr
Trilam Drolnor | vanilla
Trilas Soril | tr
Trivas Alor | tr
Trivon Llaren | vanilla
Truan Tibashipal | vanilla
Tubalaal Shaddarasmu | tr
Tubilalk Mirathrernenum | vanilla
Tulnom Verenim | tr
Tuls Uvelin | tr
Tuls Valen | vanilla
Tuls Varalaryn | tr
Tulthos Arenim | tr
Turosi Salvel | tr
Turs Abaeler | tr
Tussurraban Laland | tr
Tuvan Balvel | tr
Tyval Uvil | tr
Uban Gavas | tr
Ubatu Bissour | tr
Udrasi Edram | tr
Ulan Telvis | tr
Ulath-Bael Sobbusha | tr
Ulathis Besseral | tr
Uldryn Ralvani | tr
Uleras Morenu | tr
Ulmethys Hlas | tr
Ulmo Veran | tr
Ulmon Vathri | tr
Ulms Drathen | vanilla
Ulms Hloren | tr
Ulms Rethan | tr
Ulms Saren | vanilla
Ulms Uvel | tr
Ulor Noryn | tr
Ulran Teryon | tr
Uls Edralo | tr
Uls Herano | tr
Ulseth Llando | tr
Ultis Salam | vanilla
Uludu Verith | tr
Ulvas Serelnim | tr
Ulvelus Goril | tr
Ulven Savil | tr
Ulver Mildran | tr
Ulves Hardil | tr
Ulves Heladren | tr
Ulves Marvel | vanilla
Ulves Ralren | tr
Ulvil Llothas | vanilla
Ulvil Viake | tr
Ulvo Hlaari | tr
Ulvo Rindu | tr
Ulvo Telvorys | tr
Ulvon Farethi | tr
Ulvon Girvayn | tr
Ulvon Orethi | tr
Ulvon Uleni | vanilla
Ulvos Braryn | tr
Ulvul Daryon | tr
Ulvyn Nothro | tr
Ulvys Nerano | tr
Ulvys Nirvayn | tr
Ulvys Ules | tr
Ulyn Menathren | tr
Ummur Parsour | tr
Unamaer Rasur | tr
Undilo Llarys | tr
Uneleas Rangirth | tr
Uneleas Sedrethi | tr
Unram Budabal | tr
Uradan Adarys | tr
Uradas Delvi | tr
Uradas Vendal | tr
Uradasou Tistar | tr
Uradras Sadalas | vanilla
Uradras Uvaren | tr
Urelan Daranith | tr
Ureval Dralayn | vanilla
Urnel Hareneth | tr
Urnel Relas | vanilla
Urns Gordayn | tr
Urvel Aronim | tr
Urvel Nedalor | tr
Urven Davor | vanilla
Urven Ralas | tr
Urven Savil | tr
Uryn Vedralu | tr
Usene Ruvel | tr
Usmalli Nefros | tr
Utherys Farays | tr
Uthrel Dals | tr
Uthrel Drorim | tr
Uthrel Ienith | tr
Uthrel Sarys | vanilla
Uthrem Devan | tr
Uvele Berendas | vanilla
Uvenys Llathli | tr
Uviri Olmen | tr
Uvo Brin | tr
Uvo Drothil | tr
Uvoo Bradyn | tr
Uvren Nelemyn | tr
Uvren Tures | vanilla
Vadelen Hlervi | tr
Vaden Baro | tr
Vaden Belas | vanilla
Vaden Maneth | tr
Vaden Othren | tr
Vaden Salothril | tr
Vaden Vandal | tr
Valam Saveri | tr
Valam Thalor | tr
Valar Hlor | tr
Valar Ienith | tr
Valen Aris | tr
Valer Marvayn | tr
Vales Dras | tr
Valeyn Adas | tr
Vals Indaram | tr
Vals Varano | tr
Valun Tynareth | tr
Valys Vofyr | tr
Vamen Dendu | tr
Vanel Serven | vanilla
Vaneth Adrano | tr
Vanik Edryn | tr
Vaniken Drath | tr
Vanikil Farys | tr
Vanis Aretheri | tr
Vanith Garos | tr
Vanryth Adrano | tr
Vanryth Idren | tr
Vantas Areloth | tr
Vanthyn Dules | tr
Vanul Rothan | tr
Varanit Suavyn | tr
Vardem Divadril | tr
Varden Alvis | tr
Varel Sadryon | tr
Varen Silvey | tr
Vares Reram | vanilla
Vares Vendu | tr
Varil Odai | tr
Varis Andarys | tr
Varis Ginith | vanilla
Varis Guls | tr
Varlyn Indaram | tr
Varon Belden | tr
Varon Llenith | tr
Varon Sadralo | vanilla
Varon Valas | tr
Varonel Arano | tr
Varrac Odrethi | tr
Varru Envano | tr
Vartis Delvi | tr
Vartis Maloren | tr
Varusha Caril | tr
Varuso Veloth | tr
Varvur Rethil | tr
Varvur Sarethi | vanilla
Varyl Girelith | tr
Vatollia Apo | vanilla
Vaval Orethi | vanilla
Vaval Ramothran | tr
Vaval Selas | vanilla
Vaves Virith | vanilla
Vavran Reni | vanilla
Vedal Baryon | tr
Vedam Samandas | tr
Vedave Arendu | tr
Vedave Favano | tr
Vedaves Sendalas | tr
Vedaves Vedrel | tr
Vedmun Arvro | tr
Vedran Balen | vanilla
Vedran Gavonir | tr
Vedur Omoran | tr
Velam Relas | tr
Velar Arvel | tr
Veles Hlaari | tr
Velis Goran | tr
Velis Nidrem | tr
Velis Thirothan | vanilla
Velms Braven | tr
Velms Falveno | tr
Velms Maloren | tr
Velms Sadryon | vanilla
Velo Valaro | tr
Velos Avilo | tr
Velos Denaven | tr
Velryn Dreth | tr
Vels Gobor | tr
Vels Morayl | tr
Velyn Alari | tr
Velyn Farethan | vanilla
Velyn Marethan | tr
Velyn Ores | tr
Velyn Thindo | tr
Vendel Othreleth | tr
Vendil Tras | tr
Vendras Andrilo | tr
Vendrin Silvasan | tr
Vendro Nelam | tr
Vendryn Athalvi | tr
Venil Muthrasi | tr
Venthis Llendaren | tr
Veradul Delvas | tr
Verendes Hlevran | tr
Verin Merul | tr
Vermethys Llenim | tr
Vernis Drethan | tr
Vero Renim | tr
Veros Cammler | tr
Veros Dilthim | tr
Veryl Falneth | tr
Vevos Nerethi | vanilla
Vevro Gidralen | tr
Vevul Alver | vanilla
Vevul Gilnith | tr
Vidam Deris | tr
Vilam Llaro | tr
Vildaryn Terano | tr
Villas Nethril | tr
Vilmerys Alen | tr
Vilms Guralim | tr
Vilms Mavani | tr
Vilms Valos | tr
Vils Danoran | tr
Vilur Fels | tr
Vilval Nerethi | tr
Vilval Relvani | vanilla
Vilvan Helvi | tr
Vilvan Nelvani | tr
Vilyn Avani | tr
Vilyn Rervam | vanilla
Vinryon Sendal | tr
Viras Serven | tr
Virevar Tilvayn | tr
Virith Avrusa | tr
Viros Indoren | tr
Virvyn Athren | vanilla
Virvyn Llothas | tr
Vobend Dulfass | vanilla
Vodryn Brenur | tr
Volam Darnys | tr
Voldam Duros | tr
Volem Ouradas | tr
Voler Andrethi | tr
Volon Caram | tr
Vols Valdri | tr
Volthan Fadras | tr
Volusea Ildrvon | tr
Vonak Limonith | tr
Vonden Mano | vanilla
Vono Sarando | tr
Vonos Arendas | tr
Vorar Helas | vanilla
Voras Sarobar | tr
Vorus Odathil | tr
Voruse Bethrimo | vanilla
Vothus Rethil | tr
Vudel Nisran | tr
Vulam Tellenith | tr
Vules Llarvam | tr
Vulm Avanith | tr
Vulon Nervion | tr
Vuls Rothalen | tr
Vulyn Gonelas | tr
Vunal Ralvayn | tr
Vurul Hlando | tr
Vurvan Helval | tr
Vurvan Serothul | tr
Vurvyn Othren | tr
Vus Kirimilkushtapi | tr
Vuun Landoth | tr
Vuvil Adas | tr
Vuvil Gedas | tr
Vuvil Senim | vanilla
Vyhlathri Ashara | tr
Vynea Uvam | tr
Vyrion Aleroth | tr
Weikal Urenim | tr
Yahaz Ashurnasaddas | vanilla
Yakim Malananit | tr
Yakin Bael | vanilla
Yakin Herendas | tr
Yakum Hairshashishi | vanilla
Yammu Hainnadon | tr
Yan Assinabi | vanilla
Yanit Sehabani | vanilla
Yannat Assubibi | tr
Yannib Nassirasu | tr
Yapal Esatliballit | vanilla
Yassour Hairshumusa | vanilla
Yasum Irietha | tr
Yavan Ajurnsar | tr
Yemidan Azan | tr
